grupo,selecao,status_lista,tipo_lista,data_anuncio,posicao,jogador,clube,fonte,observacao
A,Czechia,PUBLICADA,preliminar,2026-05-12,Meio-campista,Tomáš Ladra,Viktoria Plzen,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Czechia,PUBLICADA,preliminar,2026-05-12,Meio-campista,Tomáš Souček,West Ham,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Czechia,PUBLICADA,preliminar,2026-05-12,Meio-campista,Vladimir Darida,Hradec Kralove,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Czechia,PUBLICADA,preliminar,2026-05-12,Atacante,Adam Hložek,TSG Hoffenheim,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Czechia,PUBLICADA,preliminar,2026-05-12,Atacante,Christophe Kabongo,Mlada Boleslav,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Czechia,PUBLICADA,preliminar,2026-05-12,Atacante,Jan Kliment,Sigma Olomouc,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Czechia,PUBLICADA,preliminar,2026-05-12,Atacante,Jan Kuchta,Sparta Prague,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Czechia,PUBLICADA,preliminar,2026-05-12,Atacante,Matej Vydra,Viktoria Plzen,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Czechia,PUBLICADA,preliminar,2026-05-12,Atacante,Mojmír Chytil,Slavia Prague,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Czechia,PUBLICADA,preliminar,2026-05-12,Atacante,Ondřej Mihálik,Hradec Kralove,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Czechia,PUBLICADA,preliminar,2026-05-12,Atacante,Patrik Schick,Bayer Leverkusen,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Czechia,PUBLICADA,preliminar,2026-05-12,Atacante,Tomáš Chorý,Slavia Prague,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Czechia,PUBLICADA,preliminar,2026-05-12,Atacante,Vasil Kušej,Slavia Prague,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Czechia,PUBLICADA,preliminar,2026-05-12,Atacante,Vojtěch Patrák,Pardubice,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Czechia,PUBLICADA,preliminar,2026-05-12,Atacante,Václav Sejk,Sigma Olomouc,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Mexico,PUBLICADA,preliminar,2026-05-12,Goleiro,Antonio Rodríguez,Tijuana,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Mexico,PUBLICADA,preliminar,2026-05-12,Goleiro,Carlos Acevedo,Santos Laguna,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Mexico,PUBLICADA,preliminar,2026-05-12,Goleiro,Carlos Moreno,Pachuca,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Mexico,PUBLICADA,preliminar,2026-05-12,Goleiro,Guillermo Ochoa,AEL Limassol,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Mexico,PUBLICADA,preliminar,2026-05-12,Goleiro,Raúl Rangel,Chivas,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Mexico,PUBLICADA,preliminar,2026-05-12,Goleiro,Álex Padilla,Athletic Club,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Mexico,PUBLICADA,preliminar,2026-05-12,Defensor,Bryan González,Chivas,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Mexico,PUBLICADA,preliminar,2026-05-12,Defensor,César Montes,Lokomotiv Moscow,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Mexico,PUBLICADA,preliminar,2026-05-12,Defensor,Edson Álvarez,Fenerbahçe,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Mexico,PUBLICADA,preliminar,2026-05-12,Defensor,Eduardo Águila,Atlético de San Luis,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Mexico,PUBLICADA,preliminar,2026-05-12,Defensor,Everardo López,Toluca,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Mexico,PUBLICADA,preliminar,2026-05-12,Defensor,Israel Reyes,América,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Mexico,PUBLICADA,preliminar,2026-05-12,Defensor,Jesús Angulo,Tigres,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Mexico,PUBLICADA,preliminar,2026-05-12,Defensor,Jesús Gallardo,Toluca,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Mexico,PUBLICADA,preliminar,2026-05-12,Defensor,Jesús Gómez,Tijuana,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Mexico,PUBLICADA,preliminar,2026-05-12,Defensor,Johan Vásquez,Genoa,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Mexico,PUBLICADA,preliminar,2026-05-12,Defensor,Jorge Sánchez,PAOK,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Mexico,PUBLICADA,preliminar,2026-05-12,Defensor,Julián Araujo,Celtic,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Mexico,PUBLICADA,preliminar,2026-05-12,Defensor,Luis Rey,Puebla,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Mexico,PUBLICADA,preliminar,2026-05-12,Defensor,Mateo Chávez,AZ Alkmaar,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Mexico,PUBLICADA,preliminar,2026-05-12,Defensor,Ramón Juárez,América,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Mexico,PUBLICADA,preliminar,2026-05-12,Defensor,Richard Ledezma,Chivas,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Mexico,PUBLICADA,preliminar,2026-05-12,Defensor,Víctor Guzmán,Monterrey,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Mexico,PUBLICADA,preliminar,2026-05-12,Meio-campista,Alexei Domínguez,Pachuca,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Mexico,PUBLICADA,preliminar,2026-05-12,Meio-campista,Alexis Gutiérrez,America,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Mexico,PUBLICADA,preliminar,2026-05-12,Meio-campista,Brian Gutiérrez,Chivas,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Mexico,PUBLICADA,preliminar,2026-05-12,Meio-campista,Carlos Rodríguez,Cruz Azul,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Mexico,PUBLICADA,preliminar,2026-05-12,Meio-campista,Denzell Garcia,FC Juarez,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Mexico,PUBLICADA,preliminar,2026-05-12,Meio-campista,Diego Lainez,Tigres,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Mexico,PUBLICADA,preliminar,2026-05-12,Meio-campista,Efrain Álvarez,Chivas,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Mexico,PUBLICADA,preliminar,2026-05-12,Meio-campista,Elias Montiel,Pachuca,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Mexico,PUBLICADA,preliminar,2026-05-12,Meio-campista,Erick Sánchez,America,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Mexico,PUBLICADA,preliminar,2026-05-12,Meio-campista,Erik Lira,Cruz Azul,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Mexico,PUBLICADA,preliminar,2026-05-12,Meio-campista,Gilberto Mora,Tijuana,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Mexico,PUBLICADA,preliminar,2026-05-12,Meio-campista,Isaías Violante,America,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Mexico,PUBLICADA,preliminar,2026-05-12,Meio-campista,Jeremy Márquez,Cruz Azul,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Mexico,PUBLICADA,preliminar,2026-05-12,Meio-campista,Jesús Angulo,Toluca,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Mexico,PUBLICADA,preliminar,2026-05-12,Meio-campista,Jordan Carrillo,Pumas,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Mexico,PUBLICADA,preliminar,2026-05-12,Meio-campista,Jorge Ruvalcaba,NY Red Bulls,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Mexico,PUBLICADA,preliminar,2026-05-12,Meio-campista,Kevin Castañeda,Tijuana,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Mexico,PUBLICADA,preliminar,2026-05-12,Meio-campista,Luis Chávez,Dinamo Moscu,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Mexico,PUBLICADA,preliminar,2026-05-12,Meio-campista,Luis Romo,Chivas,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Mexico,PUBLICADA,preliminar,2026-05-12,Meio-campista,Marcel Ruiz,Toluca,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Mexico,PUBLICADA,preliminar,2026-05-12,Meio-campista,Obed Vargas,Atlético de Madrid,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Mexico,PUBLICADA,preliminar,2026-05-12,Meio-campista,Orbelín Pineda,AEK,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Mexico,PUBLICADA,preliminar,2026-05-12,Meio-campista,Álvaro Fidalgo,Real Betis,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Mexico,PUBLICADA,preliminar,2026-05-12,Atacante,Alexis Vega,Toluca,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Mexico,PUBLICADA,preliminar,2026-05-12,Atacante,Armando González,Chivas,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Mexico,PUBLICADA,preliminar,2026-05-12,Atacante,César Huerta,Anderlecht,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Mexico,PUBLICADA,preliminar,2026-05-12,Atacante,Germán Berterame,Inter Miami,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Mexico,PUBLICADA,preliminar,2026-05-12,Atacante,Guillermo Martínez,Pumas,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Mexico,PUBLICADA,preliminar,2026-05-12,Atacante,Julián Quiñones,Al-Qadisiyah,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Mexico,PUBLICADA,preliminar,2026-05-12,Atacante,Raúl Jiménez,Fulham,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Mexico,PUBLICADA,preliminar,2026-05-12,Atacante,Roberto Alvarado,Chivas,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,Mexico,PUBLICADA,preliminar,2026-05-12,Atacante,Santiago Giménez,Milan,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,
A,South Africa,SUBSTITUIDA_POR_ULTIMA_CONVOCACAO,lista_preliminar,2026-05-21,Goleiro,Ronwen Williams,Mamelodi Sundowns,https://en.wikipedia.org/wiki/South_Africa_national_soccer_team,Substitui linha PENDENTE pela ultima convocacao/lista mais recente encontrada; nao necessariamente lista final da Copa.
A,South Africa,SUBSTITUIDA_POR_ULTIMA_CONVOCACAO,lista_preliminar,2026-05-21,Goleiro,Ricardo Goss,Siwelele,https://en.wikipedia.org/wiki/South_Africa_national_soccer_team,Substitui linha PENDENTE pela ultima convocacao/lista mais recente encontrada; nao necessariamente lista final da Copa.
A,South Africa,SUBSTITUIDA_POR_ULTIMA_CONVOCACAO,lista_preliminar,2026-05-21,Goleiro,Sipho Chaine,Orlando Pirates,https://en.wikipedia.org/wiki/South_Africa_national_soccer_team,Substitui linha PENDENTE pela ultima convocacao/lista mais recente encontrada; nao necessariamente lista final da Copa.
A,South Africa,SUBSTITUIDA_POR_ULTIMA_CONVOCACAO,lista_preliminar,2026-05-21,Goleiro,Brandon Petersen,Kaizer Chiefs,https://en.wikipedia.org/wiki/South_Africa_national_soccer_team,Substitui linha PENDENTE pela ultima convocacao/lista mais recente encontrada; nao necessariamente lista final da Copa.
A,South Africa,SUBSTITUIDA_POR_ULTIMA_CONVOCACAO,lista_preliminar,2026-05-21,Defensor,Aubrey Modiba,Mamelodi Sundowns,https://en.wikipedia.org/wiki/South_Africa_national_soccer_team,Substitui linha PENDENTE pela ultima convocacao/lista mais recente encontrada; nao necessariamente lista final da Copa.
A,South Africa,SUBSTITUIDA_POR_ULTIMA_CONVOCACAO,lista_preliminar,2026-05-21,Defensor,Khuliso Mudau,Mamelodi Sundowns,https://en.wikipedia.org/wiki/South_Africa_national_soccer_team,Substitui linha PENDENTE pela ultima convocacao/lista mais recente encontrada; nao necessariamente lista final da Copa.
A,South Africa,SUBSTITUIDA_POR_ULTIMA_CONVOCACAO,lista_preliminar,2026-05-21,Defensor,Nkosinathi Sibisi,Orlando Pirates,https://en.wikipedia.org/wiki/South_Africa_national_soccer_team,Substitui linha PENDENTE pela ultima convocacao/lista mais recente encontrada; nao necessariamente lista final da Copa.
A,South Africa,SUBSTITUIDA_POR_ULTIMA_CONVOCACAO,lista_preliminar,2026-05-21,Defensor,Mbekezeli Mbokazi,Chicago Fire,https://en.wikipedia.org/wiki/South_Africa_national_soccer_team,Substitui linha PENDENTE pela ultima convocacao/lista mais recente encontrada; nao necessariamente lista final da Copa.
A,South Africa,SUBSTITUIDA_POR_ULTIMA_CONVOCACAO,lista_preliminar,2026-05-21,Defensor,Ime Okon,Hannover 96,https://en.wikipedia.org/wiki/South_Africa_national_soccer_team,Substitui linha PENDENTE pela ultima convocacao/lista mais recente encontrada; nao necessariamente lista final da Copa.
A,South Africa,SUBSTITUIDA_POR_ULTIMA_CONVOCACAO,lista_preliminar,2026-05-21,Defensor,Samukele Kabini,Molde,https://en.wikipedia.org/wiki/South_Africa_national_soccer_team,Substitui linha PENDENTE pela ultima convocacao/lista mais recente encontrada; nao necessariamente lista final da Copa.
A,South Africa,SUBSTITUIDA_POR_ULTIMA_CONVOCACAO,lista_preliminar,2026-05-21,Defensor,Khulumani Ndamane,Mamelodi Sundowns,https://en.wikipedia.org/wiki/South_Africa_national_soccer_team,Substitui linha PENDENTE pela ultima convocacao/lista mais recente encontrada; nao necessariamente lista final da Copa.
A,South Africa,SUBSTITUIDA_POR_ULTIMA_CONVOCACAO,lista_preliminar,2026-05-21,Defensor,Thabang Matuludi,Polokwane City,https://en.wikipedia.org/wiki/South_Africa_national_soccer_team,Substitui linha PENDENTE pela ultima convocacao/lista mais recente encontrada; nao necessariamente lista final da Copa.
A,South Africa,SUBSTITUIDA_POR_ULTIMA_CONVOCACAO,lista_preliminar,2026-05-21,Defensor,Thabiso Monyane,Kaizer Chiefs,https://en.wikipedia.org/wiki/South_Africa_national_soccer_team,Substitui linha PENDENTE pela ultima convocacao/lista mais recente encontrada; nao necessariamente lista final da Copa.
A,South Africa,SUBSTITUIDA_POR_ULTIMA_CONVOCACAO,lista_preliminar,2026-05-21,Defensor,Bradley Cross,Kaizer Chiefs,https://en.wikipedia.org/wiki/South_Africa_national_soccer_team,Substitui linha PENDENTE pela ultima convocacao/lista mais recente encontrada; nao necessariamente lista final da Copa.
A,South Africa,SUBSTITUIDA_POR_ULTIMA_CONVOCACAO,lista_preliminar,2026-05-21,Defensor,Olwethu Makhanya,Philadelphia Union,https://en.wikipedia.org/wiki/South_Africa_national_soccer_team,Substitui linha PENDENTE pela ultima convocacao/lista mais recente encontrada; nao necessariamente lista final da Copa.
A,South Africa,SUBSTITUIDA_POR_ULTIMA_CONVOCACAO,lista_preliminar,2026-05-21,Meio-campista,Themba Zwane,Mamelodi Sundowns,https://en.wikipedia.org/wiki/South_Africa_national_soccer_team,Substitui linha PENDENTE pela ultima convocacao/lista mais recente encontrada; nao necessariamente lista final da Copa.
A,South Africa,SUBSTITUIDA_POR_ULTIMA_CONVOCACAO,lista_preliminar,2026-05-21,Meio-campista,Teboho Mokoena,Mamelodi Sundowns,https://en.wikipedia.org/wiki/South_Africa_national_soccer_team,Substitui linha PENDENTE pela ultima convocacao/lista mais recente encontrada; nao necessariamente lista final da Copa.
A,South Africa,SUBSTITUIDA_POR_ULTIMA_CONVOCACAO,lista_preliminar,2026-05-21,Meio-campista,Yaya Sithole,Tondela,https://en.wikipedia.org/wiki/South_Africa_national_soccer_team,Substitui linha PENDENTE pela ultima convocacao/lista mais recente encontrada; nao necessariamente lista final da Copa.
A,South Africa,SUBSTITUIDA_POR_ULTIMA_CONVOCACAO,lista_preliminar,2026-05-21,Meio-campista,Lebohang Maboe,Kaizer Chiefs,https://en.wikipedia.org/wiki/South_Africa_national_soccer_team,Substitui linha PENDENTE pela ultima convocacao/lista mais recente encontrada; nao necessariamente lista final da Copa.
